,text,targets
57,The buyer has need of a hundred eyes .,"[{'span1': [6, 8], 'span_word': 'hundred eyes', 'label': 'nonliteral'}]"
58,"We 've been dealing with it for months , and months and months .","[{'span1': [7, 13], 'span_word': 'months months months', 'label': 'nonliteral'}]"
59,"I would buy it , if it did not cost an arm and a leg !","[{'span1': [11, 15], 'span_word': 'arm leg', 'label': 'nonliteral'}]"
60,Even a baby could pass that test !,"[{'span1': [0, 3], 'span_word': 'even a baby', 'label': 'nonliteral'}]"
61,And soon I 'll be famous beyond belief .,"[{'span1': [6, 8], 'span_word': 'beyond belief', 'label': 'nonliteral'}]"
62,Old Mr. Smith has been teaching here since the Stone Age .,"[{'span1': [9, 11], 'span_word': 'stone age', 'label': 'nonliteral'}]"
63,"Set a beggar on horseback , and he 'll ride to the devil .","[{'span1': [12, 13], 'span_word': 'devil', 'label': 'nonliteral'}]"
64,Nothing 's impossible !,"[{'span1': [0, 3], 'span_word': ""nothing 's impossible"", 'label': 'nonliteral'}]"
65,A day was twenty-four hours long but seemed longer .,"[{'span1': [7, 9], 'span_word': 'seemed longer', 'label': 'nonliteral'}]"
66,She 'll erupt when she finds out that her brother left .,"[{'span1': [2, 3], 'span_word': 'erupt', 'label': 'nonliteral'}]"
67,Nobody can beat level six .,"[{'span1': [0, 1], 'span_word': 'nobody', 'label': 'nonliteral'}]"
68,Supernatural courage is needed when bringing a message to a hostile audience .,"[{'span1': [0, 1], 'span_word': 'supernatural', 'label': 'nonliteral'}]"
69,Living with apprehensive parents is being trapped in a tower .,"[{'span1': [6, 10], 'span_word': 'trapped tower', 'label': 'nonliteral'}]"
70,A man can have a belly you could house a commercial aircraft in .,"[{'span1': [8, 12], 'span_word': 'house a commercial aircraft', 'label': 'nonliteral'}]"
71,We are traversing the vast desert of everyday life .,"[{'span1': [4, 6], 'span_word': 'vast desert', 'label': 'nonliteral'}]"
72,Jason would rather lose an arm than lose face by pulling out .,"[{'span1': [3, 6], 'span_word': 'lose arm', 'label': 'nonliteral'}]"
73,It was said that he had read so many books that his brain dried up .,"[{'span1': [13, 15], 'span_word': 'dried up', 'label': 'nonliteral'}]"
74,Dust-like snowflakes began to fall .,"[{'span1': [0, 1], 'span_word': 'dust-like', 'label': 'nonliteral'}]"
75,"See , my dear , a pair of high heels is indispensable these days .","[{'span1': [11, 12], 'span_word': 'indispensable', 'label': 'nonliteral'}]"
76,The joke was just epic !,"[{'span1': [4, 5], 'span_word': 'epic', 'label': 'nonliteral'}]"
77,"I 'm sure the spider was about to leap off the wall , latch itself onto my leg and start gnawing me .","[{'span1': [20, 21], 'span_word': 'gnawing', 'label': 'nonliteral'}]"
78,Not too far away is an empire of chicken farms .,"[{'span1': [6, 7], 'span_word': 'empire', 'label': 'nonliteral'}]"
79,The girl is no one .,"[{'span1': [3, 5], 'span_word': 'no one', 'label': 'nonliteral'}]"
80,You could see she was scared to death .,"[{'span1': [7, 8], 'span_word': 'death', 'label': 'nonliteral'}]"
81,I 'll see him wriggle like a worm on a hook !,"[{'span1': [5, 8], 'span_word': 'like worm', 'label': 'nonliteral'}]"
82,The style is the man .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
83,One could swear that the contortionist had no bones .,"[{'span1': [8, 9], 'span_word': 'bones', 'label': 'nonliteral'}]"
84,Being in debt makes my muscles itch .,"[{'span1': [5, 7], 'span_word': 'muscles itch', 'label': 'nonliteral'}]"
85,Masses of garbage reached so high that it lifted the roof .,"[{'span1': [8, 11], 'span_word': 'lifted roof', 'label': 'nonliteral'}]"
86,"You are not a fully-grown man , you are a clown .","[{'span1': [10, 11], 'span_word': 'clown', 'label': 'nonliteral'}]"
87,This drink makes you grow wings .,"[{'span1': [4, 6], 'span_word': 'grow wings', 'label': 'nonliteral'}]"
88,"Remember , Quasimodo they 're gypsies . They 'll steal us blind .","[{'span1': [11, 12], 'span_word': 'blind', 'label': 'nonliteral'}]"
89,My lover 's arms were made to hold me close .,"[{'span1': [5, 6], 'span_word': 'made', 'label': 'nonliteral'}]"
90,The taste is perfect .,"[{'span1': [3, 4], 'span_word': 'perfect', 'label': 'nonliteral'}]"
91,The veteran proclaimed he had tree trucks for legs .,"[{'span1': [5, 7], 'span_word': 'tree trucks', 'label': 'nonliteral'}]"
92,Being led around aimlessly felt like being a zombie .,"[{'span1': [8, 9], 'span_word': 'zombie', 'label': 'nonliteral'}]"
93,It 's painful to see you eating pineapple pizza . It hurts my Italian heart .,"[{'span1': [2, 12], 'span_word': 'painful hurts', 'label': 'nonliteral'}]"
94,Books are food for avid readers .,"[{'span1': [2, 3], 'span_word': 'food', 'label': 'nonliteral'}]"
95,Many questions were fired at us .,"[{'span1': [3, 6], 'span_word': 'fired us', 'label': 'nonliteral'}]"
96,His eyes were pure black .,"[{'span1': [3, 5], 'span_word': 'pure black', 'label': 'nonliteral'}]"
97,"Wow , I 'm dead from the neck up today .","[{'span1': [4, 10], 'span_word': 'dead today', 'label': 'nonliteral'}]"
98,I know this place like the back of my hand .,"[{'span1': [4, 10], 'span_word': 'like back hand', 'label': 'nonliteral'}]"
99,He 's a wrecking ball for the future of the Party .,"[{'span1': [3, 5], 'span_word': 'wrecking ball', 'label': 'nonliteral'}]"
100,I can see you 've lost your mind .,"[{'span1': [4, 6], 'span_word': ""'ve lost"", 'label': 'nonliteral'}]"
101,It was unpleasant seeing her in those cheap shapeless clothes .,"[{'span1': [8, 9], 'span_word': 'shapeless', 'label': 'nonliteral'}]"
102,Daisy Buchanan is Gatsby 's grail that he fails to possess .,"[{'span1': [5, 6], 'span_word': 'grail', 'label': 'nonliteral'}]"
103,I depend on my green tea fix each morning !,"[{'span1': [1, 2], 'span_word': 'depend', 'label': 'nonliteral'}]"
104,"You 're so sweet , you give me diabetes .","[{'span1': [6, 9], 'span_word': 'give diabetes', 'label': 'nonliteral'}]"
105,His charisma magnetized us .,"[{'span1': [2, 3], 'span_word': 'magnetized', 'label': 'nonliteral'}]"
106,"When you get emotional , your brain sort of short-circuits .","[{'span1': [7, 10], 'span_word': 'sort short-circuits', 'label': 'nonliteral'}]"
107,Parents ' affection is cosmic .,"[{'span1': [4, 5], 'span_word': 'cosmic', 'label': 'nonliteral'}]"
108,I can smell pizza from a mile away .,"[{'span1': [6, 8], 'span_word': 'mile away', 'label': 'nonliteral'}]"
109,I do n't work without coffee : it 's my lifeblood .,"[{'span1': [8, 11], 'span_word': ""'s lifeblood"", 'label': 'nonliteral'}]"
110,The resources are pitifully small .,"[{'span1': [3, 4], 'span_word': 'pitifully', 'label': 'nonliteral'}]"
111,She had an ethereal glow about her .,"[{'span1': [3, 4], 'span_word': 'ethereal', 'label': 'nonliteral'}]"
112,The title says it all .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
113,The president said that the well-being of citizens is his North Star .,"[{'span1': [10, 12], 'span_word': 'north star', 'label': 'nonliteral'}]"
114,The minister told the guests that the couple 's friendship was sweeter than honey .,"[{'span1': [11, 14], 'span_word': 'sweeter honey', 'label': 'nonliteral'}]"
115,I swear you 've doubled in size since I saw you last month .,"[{'span1': [6, 8], 'span_word': 'size since', 'label': 'nonliteral'}]"
116,Weight training is ridiculously good for you .,"[{'span1': [3, 4], 'span_word': 'ridiculously', 'label': 'nonliteral'}]"
117,His studded jacket is drilling in his body .,"[{'span1': [4, 5], 'span_word': 'drilling', 'label': 'nonliteral'}]"
118,They go about together like Siamese twins .,"[{'span1': [5, 7], 'span_word': 'siamese twins', 'label': 'nonliteral'}]"
119,They were probably hoping to crucify me in front of the whole world .,"[{'span1': [11, 13], 'span_word': 'whole world', 'label': 'nonliteral'}]"
120,Guess you 've run out of thoughts .,"[{'span1': [3, 4], 'span_word': 'run', 'label': 'nonliteral'}]"
121,One winter was so cold that the snow turned blue .,"[{'span1': [8, 10], 'span_word': 'turned blue', 'label': 'nonliteral'}]"
122,So much snow that it 's like walking in the firmament .,"[{'span1': [10, 11], 'span_word': 'firmament', 'label': 'nonliteral'}]"
123,"She is only a puppet , acting on the directives of her friends .","[{'span1': [4, 5], 'span_word': 'puppet', 'label': 'nonliteral'}]"
124,Many people say that my father is still a kid .,"[{'span1': [7, 10], 'span_word': 'still kid', 'label': 'nonliteral'}]"
125,I 've seen this movie at least eighty thousand times .,"[{'span1': [6, 10], 'span_word': 'least eighty thousand times', 'label': 'nonliteral'}]"
126,It 's the end of the world .,"[{'span1': [3, 7], 'span_word': 'end world', 'label': 'nonliteral'}]"
127,It is a truth universally acknowledged that a single man in possession of a fortune must be in want of a wife .,"[{'span1': [3, 6], 'span_word': 'truth universally acknowledged', 'label': 'nonliteral'}]"
128,Christmas will never come .,"[{'span1': [2, 3], 'span_word': 'never', 'label': 'nonliteral'}]"
129,She ran the whole gamut of emotions .,"[{'span1': [3, 5], 'span_word': 'whole gamut', 'label': 'nonliteral'}]"
130,He used to teach there and used to get harassed by all the pupils .,"[{'span1': [9, 10], 'span_word': 'harassed', 'label': 'nonliteral'}]"
131,That lawyer 's words are bullets .,"[{'span1': [5, 6], 'span_word': 'bullets', 'label': 'nonliteral'}]"
132,The taste of Kellogg 's Frosted Flakes brings out the tiger in you .,"[{'span1': [10, 11], 'span_word': 'tiger', 'label': 'nonliteral'}]"
133,Art is my stairway to heaven .,"[{'span1': [3, 6], 'span_word': 'stairway heaven', 'label': 'nonliteral'}]"
134,No other friendship could be so strong .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
135,It drives me crazy when you only drink half of the soda .,"[{'span1': [3, 4], 'span_word': 'crazy', 'label': 'nonliteral'}]"
136,"And there , before you , is barbeque perfection .","[{'span1': [8, 9], 'span_word': 'perfection', 'label': 'nonliteral'}]"
137,"Come on , I 'm a vault of secrecy .","[{'span1': [6, 7], 'span_word': 'vault', 'label': 'nonliteral'}]"
138,Seeing my bestfriend again would mean the world to me .,"[{'span1': [7, 8], 'span_word': 'world', 'label': 'nonliteral'}]"
139,After workout I feel I could lift a sumo wrestler .,"[{'span1': [8, 10], 'span_word': 'sumo wrestler', 'label': 'nonliteral'}]"
140,We used to be as little independent as a flock of sheep .,"[{'span1': [9, 12], 'span_word': 'flock sheep', 'label': 'nonliteral'}]"
141,His mother is very apprehensive and keeps him in a bubble .,"[{'span1': [10, 11], 'span_word': 'bubble', 'label': 'nonliteral'}]"
142,That man corrupts whatsoever he touches .,"[{'span1': [1, 4], 'span_word': 'man whatsoever', 'label': 'nonliteral'}]"
143,These flowers are absurdly awesome !,"[{'span1': [3, 4], 'span_word': 'absurdly', 'label': 'nonliteral'}]"
144,And it is a tiny mouthful of heaven .,"[{'span1': [7, 8], 'span_word': 'heaven', 'label': 'nonliteral'}]"
145,I love you with so much of my heart that none is left to protest .,"[{'span1': [10, 13], 'span_word': 'none left', 'label': 'nonliteral'}]"
146,Over my dead body are you meeting with them .,"[{'span1': [2, 4], 'span_word': 'dead body', 'label': 'nonliteral'}]"
147,This policy will plunge the country into a chaos .,"[{'span1': [3, 4], 'span_word': 'plunge', 'label': 'nonliteral'}]"
148,My hair is poker-straight .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
149,Your body is a wonderland .,"[{'span1': [4, 5], 'span_word': 'wonderland', 'label': 'nonliteral'}]"
150,"Sometimes , ignorance is bliss .","[{'span1': [4, 5], 'span_word': 'bliss', 'label': 'nonliteral'}]"
151,I felt an explosion of flavor in my mouth .,"[{'span1': [3, 4], 'span_word': 'explosion', 'label': 'nonliteral'}]"
152,Your speech evokes a thousand sympathies .,"[{'span1': [4, 5], 'span_word': 'thousand', 'label': 'nonliteral'}]"
153,This restaurant sums up the neighbour in all its hipster glory !,"[{'span1': [10, 11], 'span_word': 'glory', 'label': 'nonliteral'}]"
154,"This blog is my harem , where my innermost secrets are shared .","[{'span1': [4, 5], 'span_word': 'harem', 'label': 'nonliteral'}]"
155,He 's a monster .,"[{'span1': [3, 4], 'span_word': 'monster', 'label': 'nonliteral'}]"
156,"It 's so dark , a bat could n't see in this room .","[{'span1': [8, 10], 'span_word': ""n't see"", 'label': 'nonliteral'}]"
157,They were laughing to death .,"[{'span1': [4, 5], 'span_word': 'death', 'label': 'nonliteral'}]"
158,"You stepped on a land mine , boy .","[{'span1': [4, 6], 'span_word': 'land mine', 'label': 'nonliteral'}]"
159,Daisy was an unattainable woman .,"[{'span1': [3, 4], 'span_word': 'unattainable', 'label': 'nonliteral'}]"
160,These are the proofs of the invincible smartness of the human race .,"[{'span1': [6, 7], 'span_word': 'invincible', 'label': 'nonliteral'}]"
161,"When everyone went home for holidays , the campus became a ghost town .","[{'span1': [11, 13], 'span_word': 'ghost town', 'label': 'nonliteral'}]"
162,You 're being stalked by an emotional vampire .,"[{'span1': [7, 8], 'span_word': 'vampire', 'label': 'nonliteral'}]"
163,It 'd take a miracle to get me into the army .,"[{'span1': [4, 5], 'span_word': 'miracle', 'label': 'nonliteral'}]"
164,It 's time to stop living like a dead man .,"[{'span1': [8, 10], 'span_word': 'dead man', 'label': 'nonliteral'}]"
165,I lost my sense of humor in the before Christ to be precise .,"[{'span1': [1, 10], 'span_word': 'lost christ', 'label': 'nonliteral'}]"
166,Be silent as a ninja .,"[{'span1': [4, 5], 'span_word': 'ninja', 'label': 'nonliteral'}]"
167,"Move , there 's no time .","[{'span1': [0, 6], 'span_word': ""move 's time"", 'label': 'nonliteral'}]"
168,"You 've made me the happiest man alive , Rita .","[{'span1': [5, 8], 'span_word': 'happiest man alive', 'label': 'nonliteral'}]"
169,I just got hit by an avalanche of cramps .,"[{'span1': [3, 7], 'span_word': 'hit avalanche', 'label': 'nonliteral'}]"
170,With a word she can get what she came for .,"[{'span1': [2, 3], 'span_word': 'word', 'label': 'nonliteral'}]"
171,I swear he 'd rather die of starvation than even take a whiff of it !,"[{'span1': [5, 8], 'span_word': 'die starvation', 'label': 'nonliteral'}]"
172,"That artist is a wordless person , she rarely speaks .","[{'span1': [4, 5], 'span_word': 'wordless', 'label': 'nonliteral'}]"
173,"Forget knocking it out of the park , Frank can knock a baseball off the continent .","[{'span1': [8, 16], 'span_word': 'frank continent', 'label': 'nonliteral'}]"
174,We must obey my mother 's whims ! We bow to her power !,"[{'span1': [9, 10], 'span_word': 'bow', 'label': 'nonliteral'}]"
175,This is a must buy !,"[{'span1': [3, 5], 'span_word': 'must buy', 'label': 'nonliteral'}]"
176,"The town I grew up in is so isolated that rock , paper , scissors is considered a high tech game .","[{'span1': [18, 21], 'span_word': 'high tech game', 'label': 'nonliteral'}]"
177,He drank a tanker of milk as if he was a drain .,"[{'span1': [3, 12], 'span_word': 'tanker drain', 'label': 'nonliteral'}]"
178,This musician is the god of guitar .,"[{'span1': [4, 5], 'span_word': 'god', 'label': 'nonliteral'}]"
179,I do not breathe without you .,"[{'span1': [3, 5], 'span_word': 'breathe without', 'label': 'nonliteral'}]"
180,Better be out of the world than out of the fashion .,"[{'span1': [5, 6], 'span_word': 'world', 'label': 'nonliteral'}]"
181,You do n't ever listen to me .,"[{'span1': [2, 4], 'span_word': ""n't ever"", 'label': 'nonliteral'}]"
182,I thought we had a deal but you stabbed me in the back .,"[{'span1': [8, 13], 'span_word': 'stabbed back', 'label': 'nonliteral'}]"
183,Fabulous new haircut !,"[{'span1': [0, 1], 'span_word': 'fabulous', 'label': 'nonliteral'}]"
184,His bark breaks the sound barrier .,"[{'span1': [4, 6], 'span_word': 'sound barrier', 'label': 'nonliteral'}]"
185,I broke my ribs laughing .,"[{'span1': [1, 4], 'span_word': 'broke ribs', 'label': 'nonliteral'}]"
186,My tongue is a piece of sandpaper .,"[{'span1': [4, 7], 'span_word': 'piece sandpaper', 'label': 'nonliteral'}]"
187,"And your father and I worked on those plans together , for months and months and months .","[{'span1': [12, 17], 'span_word': 'months months months', 'label': 'nonliteral'}]"
188,He 's light like a feather .,"[{'span1': [3, 6], 'span_word': 'like feather', 'label': 'nonliteral'}]"
189,"I 'm quite imperturbable , only UFO can rock me .","[{'span1': [6, 7], 'span_word': 'ufo', 'label': 'nonliteral'}]"
190,"When my dog waves , his tail it causes hurricanes .","[{'span1': [8, 10], 'span_word': 'causes hurricanes', 'label': 'nonliteral'}]"
191,The flower of poetry will spring up toward God .,"[{'span1': [8, 9], 'span_word': 'god', 'label': 'nonliteral'}]"
192,We picked up a bottle once on a trip and were blown away !,"[{'span1': [11, 13], 'span_word': 'blown away', 'label': 'nonliteral'}]"
193,It is unthinkable to love and be wise .,"[{'span1': [2, 3], 'span_word': 'unthinkable', 'label': 'nonliteral'}]"
194,"Given its advanced technologies , this is more of a spacecraft than a regular car .","[{'span1': [10, 11], 'span_word': 'spacecraft', 'label': 'nonliteral'}]"
195,People hang on your every word .,"[{'span1': [1, 5], 'span_word': 'hang every', 'label': 'nonliteral'}]"
196,He eats a mountain of junk food .,"[{'span1': [3, 4], 'span_word': 'mountain', 'label': 'nonliteral'}]"
197,Have n't seen you in ages .,"[{'span1': [5, 6], 'span_word': 'ages', 'label': 'nonliteral'}]"
198,I 'd love to hang out eight days a week .,"[{'span1': [6, 8], 'span_word': 'eight days', 'label': 'nonliteral'}]"
199,It turns out Crumpet Manor had left Lily into a comatose state of relaxation .,"[{'span1': [10, 11], 'span_word': 'comatose', 'label': 'nonliteral'}]"
200,My bedroom is my sanctuary .,"[{'span1': [4, 5], 'span_word': 'sanctuary', 'label': 'nonliteral'}]"
201,I can conquer the world with you by my side .,"[{'span1': [2, 5], 'span_word': 'conquer world', 'label': 'nonliteral'}]"
202,Imagination is the queen of truth .,"[{'span1': [3, 4], 'span_word': 'queen', 'label': 'nonliteral'}]"
203,"Your mom is so fat , I could slap her thigh and ride the wave !","[{'span1': [7, 15], 'span_word': 'could ride wave', 'label': 'nonliteral'}]"
204,You can tell the judge how you made it vanish into thin air .,"[{'span1': [11, 13], 'span_word': 'thin air', 'label': 'nonliteral'}]"
205,"Starting from today , I 'm a brand new person .","[{'span1': [7, 9], 'span_word': 'brand new', 'label': 'nonliteral'}]"
206,I would give my possessions for a pot of ale .,"[{'span1': [2, 5], 'span_word': 'give possessions', 'label': 'nonliteral'}]"
207,He walked down the road to nowhere .,"[{'span1': [6, 7], 'span_word': 'nowhere', 'label': 'nonliteral'}]"
208,"I 'm dying of hunger , I would eat a horse .","[{'span1': [2, 11], 'span_word': 'dying horse', 'label': 'nonliteral'}]"
209,"I am sitting here , throned in blue sky like a sphinx .","[{'span1': [7, 10], 'span_word': 'blue sky like', 'label': 'nonliteral'}]"
210,Travel broadens your brain .,"[{'span1': [1, 2], 'span_word': 'broadens', 'label': 'nonliteral'}]"
211,Idleness is the root of evil .,"[{'span1': [3, 4], 'span_word': 'root', 'label': 'nonliteral'}]"
212,Finding the piece of paper in this chunk of documents is like looking for a needle in a haystack .,"[{'span1': [15, 16], 'span_word': 'needle', 'label': 'nonliteral'}]"
213,No one follows the rules in this office . It 's a jungle .,"[{'span1': [12, 13], 'span_word': 'jungle', 'label': 'nonliteral'}]"
214,"Two years ago , I catapulted myself into the fashion world .","[{'span1': [5, 6], 'span_word': 'catapulted', 'label': 'nonliteral'}]"
215,Why did you beat him to a pulp ?,"[{'span1': [7, 8], 'span_word': 'pulp', 'label': 'nonliteral'}]"
216,That old soldier is ready for another battle . He 's made of iron .,"[{'span1': [11, 14], 'span_word': 'made iron', 'label': 'nonliteral'}]"
217,I worked myself to the bone .,"[{'span1': [5, 6], 'span_word': 'bone', 'label': 'nonliteral'}]"
218,It 's a no brainer .,"[{'span1': [4, 5], 'span_word': 'brainer', 'label': 'nonliteral'}]"
219,The pictures prove that the poor country has turned into hell .,"[{'span1': [10, 11], 'span_word': 'hell', 'label': 'nonliteral'}]"
220,A roaring deluge of applauses followed the performance .,"[{'span1': [1, 3], 'span_word': 'roaring deluge', 'label': 'nonliteral'}]"
221,I was dazed by the elegance of the B & B .,"[{'span1': [2, 3], 'span_word': 'dazed', 'label': 'nonliteral'}]"
222,"If this character was a real person , I 'd break every bone in his body .","[{'span1': [10, 13], 'span_word': 'break every bone', 'label': 'nonliteral'}]"
223,He 's a giant with the brain of a chicken .,"[{'span1': [6, 10], 'span_word': 'brain chicken', 'label': 'nonliteral'}]"
224,Living with you is a rollercoaster but it 's worth the thrill .,"[{'span1': [5, 6], 'span_word': 'rollercoaster', 'label': 'nonliteral'}]"
225,"When your mother saw you , she was about to pass out from excitement .","[{'span1': [10, 11], 'span_word': 'pass', 'label': 'nonliteral'}]"
226,"My job is so boring , I want to die .","[{'span1': [7, 10], 'span_word': 'want die', 'label': 'nonliteral'}]"
227,Too much work makes me feel demolished .,"[{'span1': [6, 7], 'span_word': 'demolished', 'label': 'nonliteral'}]"
228,My paperworks piled up to the ceiling .,"[{'span1': [6, 7], 'span_word': 'ceiling', 'label': 'nonliteral'}]"
229,His shout could split rocks .,"[{'span1': [2, 5], 'span_word': 'could split rocks', 'label': 'nonliteral'}]"
